question,answer
What is artificial intelligence?,Artificial Intelligence is the simulation of human intelligence by machines.
What is machine learning?,Machine Learning is a subset of AI that enables systems to learn from data.
What is deep learning?,Deep Learning is a subset of Machine Learning based on neural networks.
What is NLP?,Natural Language Processing enables computers to understand human language.
What is computer vision?,Computer Vision helps machines interpret and understand images and videos.
What is supervised learning?,Supervised learning uses labeled data for training.
What is unsupervised learning?,Unsupervised learning finds patterns in unlabeled data.
What is reinforcement learning?,Reinforcement learning learns through rewards and penalties.
What is a neural network?,A neural network is a computational model inspired by the human brain.
Why is AI important?,AI helps automate tasks improve efficiency and support decision making.
What is Generative AI?,Generative AI creates new content such as text images audio video and code.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI using large language models.
What is an LLM?,A Large Language Model is trained on massive amounts of text data to understand and generate language.
How is NLP used in chatbots?,NLP helps chatbots understand user questions interpret intent and generate meaningful responses.
What is a transformer model?,A transformer is a deep learning architecture widely used in modern language models.
What is prompt engineering?,Prompt engineering is the practice of designing effective prompts for AI models.
What is transfer learning?,Transfer learning reuses knowledge learned from one task to improve performance on another task.
What is overfitting?,Overfitting occurs when a model learns training data too well and performs poorly on unseen data.
What is underfitting?,Underfitting occurs when a model fails to learn important patterns from training data.
What is feature engineering?,Feature engineering is the process of creating useful features from raw data for machine learning models.
What is a chatbot?,A chatbot is a software application that simulates conversations with users.
What is computer vision?,Computer Vision enables machines to understand and analyze images and videos.
What is data science?,Data Science combines statistics programming and domain expertise to extract insights from data.
What is classification?,Classification is a machine learning task that predicts categorical labels.
What is regression?,Regression is a machine learning task used to predict continuous numerical values.
What is clustering?,Clustering is an unsupervised learning technique that groups similar data points together.
What is a dataset?,A dataset is a collection of data used for analysis and machine learning.
What is training data?,Training data is the data used to train a machine learning model.
What is testing data?,Testing data is used to evaluate the performance of a trained model.
What is validation data?,Validation data is used to tune model parameters during training.
What is a prediction model?,A prediction model uses data patterns to forecast future outcomes.
What is a recommendation system?,A recommendation system suggests products services or content based on user preferences.
What is sentiment analysis?,Sentiment analysis identifies emotions opinions or attitudes expressed in text.
What is text mining?,Text mining is the process of extracting useful information from textual data.
What is tokenization?,Tokenization is the process of splitting text into smaller units called tokens.
What are stop words?,Stop words are commonly used words that are often removed during text preprocessing.
What is stemming?,Stemming reduces words to their root form by removing suffixes.
What is lemmatization?,Lemmatization reduces words to their base dictionary form.
What is TF-IDF?,TF-IDF is a technique that measures the importance of a word in a document relative to a collection of documents.
What is cosine similarity?,Cosine similarity measures the similarity between two text vectors based on the angle between them.
What is an embedding?,An embedding is a numerical representation of data that captures semantic meaning.
What is a vector database?,A vector database stores and retrieves embeddings for similarity search.
What is RAG?,Retrieval Augmented Generation combines information retrieval with generative AI to improve responses.
What is fine tuning?,Fine tuning is the process of adapting a pre-trained model to a specific task using additional training data.
What is a large language model?,A large language model is an AI model trained on vast amounts of text to understand and generate human language.
What is Gemini?,Gemini is a family of multimodal AI models developed by Google.
What is OpenAI?,OpenAI is an artificial intelligence research and deployment company.
What is prompt?,A prompt is the input instruction or question given to an AI model.
What is model accuracy?,Model accuracy measures how often a machine learning model makes correct predictions.
What is bias in AI?,Bias in AI occurs when a model produces unfair or systematically skewed results.
What is zero shot learning?,Zero shot learning enables a model to perform tasks it has never explicitly seen during training.
What is few shot learning?,Few shot learning allows a model to learn a task using only a small number of examples.
What is attention mechanism?,The attention mechanism helps a model focus on the most relevant parts of the input data.
What is multimodal AI?,Multimodal AI can process and understand multiple types of data such as text images audio and video.
